#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 64 10 64 11.060864 1513801099090084995 1513801114988610978 0.485081
#Experience summarry : avg : 11.060864 :: std : 0.485081 :: min : 10.211160 :: max : 11.558403 :: median : 11.437821

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 80 10 64 22.759006 1513801252509430885 1513801260521573159 0.830184
#Experience summarry : avg : 22.759006 :: std : 0.830184 :: min : 21.120427 :: max : 24.025982 :: median : 22.875961

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 96 10 64 41.571090 1513801359426022179 1513801364073229245 1.557484
#Experience summarry : avg : 41.571090 :: std : 1.557484 :: min : 39.439916 :: max : 45.125693 :: median : 41.415676

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 128 10 64 103.093378 1513801435122850513 1513801436980166781 2.507755
#Experience summarry : avg : 103.093378 :: std : 2.507755 :: min : 98.682937 :: max : 106.470759 :: median : 104.289096

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 144 10 64 129.136526 1513801504021222893 1513801505327323700 17.154667
#Experience summarry : avg : 129.136526 :: std : 17.154667 :: min : 78.607362 :: max : 140.330380 :: median : 135.483218

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 160 10 64 174.525329 1513801568382084810 1513801569449481479 3.301777
#Experience summarry : avg : 174.525329 :: std : 3.301777 :: min : 169.336399 :: max : 180.353521 :: median : 175.841410

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 176 10 64 222.099864 1513801630056826275 1513801630925404426 8.775851
#Experience summarry : avg : 222.099864 :: std : 8.775851 :: min : 210.267174 :: max : 237.162997 :: median : 222.876657

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 192 10 64 276.949774 1513801689881240040 1513801690570702631 17.032135
#Experience summarry : avg : 276.949774 :: std : 17.032135 :: min : 242.477363 :: max : 293.550403 :: median : 286.629553

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 64 338.383189 1513801748475832821 1513801749006169661 21.881437
#Experience summarry : avg : 338.383189 :: std : 21.881437 :: min : 290.126254 :: max : 360.338629 :: median : 347.744720

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 224 10 64 407.354177 1513801805981857523 1513801806421087652 22.027046
#Experience summarry : avg : 407.354177 :: std : 22.027046 :: min : 360.294551 :: max : 434.530631 :: median : 417.287322

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 240 10 64 457.838413 1513801862886046174 1513801863278514522 12.118936
#Experience summarry : avg : 457.838413 :: std : 12.118936 :: min : 435.305694 :: max : 472.067645 :: median : 464.859896

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 256 10 64 508.409423 1513801919294433408 1513801919652615536 10.021751
#Experience summarry : avg : 508.409423 :: std : 10.021751 :: min : 491.760282 :: max : 527.634900 :: median : 510.937194

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 384 10 64 477.628385 1513801975832372661 1513801976205210668 12.641556
#Experience summarry : avg : 477.628385 :: std : 12.641556 :: min : 457.660958 :: max : 496.909376 :: median : 483.766069

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 512 10 64 365.944508 1513802033422948657 1513802033917931084 11.990974
#Experience summarry : avg : 365.944508 :: std : 11.990974 :: min : 336.131568 :: max : 375.354212 :: median : 371.542960

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 72 10 64 16.428502 1513809191838488194 1513809203207722680 0.400646
#Experience summarry : avg : 16.428502 :: std : 0.400646 :: min : 15.631520 :: max : 16.995906 :: median : 16.459000

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 88 10 64 30.535862 1513809317153764839 1513809323675779480 1.568749
#Experience summarry : avg : 30.535862 :: std : 1.568749 :: min : 28.102582 :: max : 33.646115 :: median : 30.649845

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 104 10 64 54.283628 1513809412221959978 1513809415626499016 2.060673
#Experience summarry : avg : 54.283628 :: std : 2.060673 :: min : 50.872616 :: max : 57.387675 :: median : 54.040945

